description,amount,category,date
Uber ride from Port Robert,891.96,Travel,2024-11-22
Rite Aid Tree,166.44,Healthcare,2025-07-04
Spotify Age,37.57,Entertainment,2025-02-27
Walmart His,354.83,Shopping,2025-11-09
Domino's order 132,69.08,Food & Dining,2025-06-19
Best Buy Unit,497.22,Shopping,2025-05-30
Credit Card Payment Stay,1301.2,Finance,2025-03-29
Gym Membership Measure,84.43,Fitness,2025-03-09
Cafe Nero order 351,45.39,Food & Dining,2024-11-21
Clinic Stage,72.91,Healthcare,2025-04-23
KFC order 922,63.6,Food & Dining,2024-11-25
Uber ride from Davisfort,254.39,Travel,2025-11-09
Domino's order 696,77.59,Food & Dining,2025-09-22
Hospital Its,179.22,Healthcare,2025-11-11
Domino's order 951,27.05,Food & Dining,2025-06-19
Investment Platform Nearly,670.76,Finance,2025-03-22
Loan EMI Account,367.6,Finance,2025-03-28
Electric Company College,199.06,Utilities,2025-04-04
Hospital Career,174.08,Healthcare,2025-11-03
Spotify Next,38.14,Entertainment,2025-10-18
Gift Shop Animal,172.85,Others,2025-04-13
Disney+ Yeah,30.58,Entertainment,2025-01-31
Internet Service Cell,212.61,Utilities,2025-10-22
Lyft ride from Jasonfurt,426.08,Travel,2024-11-29
Fitbit Subscription Southern,66.68,Fitness,2025-11-21
Fitbit Subscription Meeting,113.88,Fitness,2025-11-13
Starbucks order 231,26.74,Food & Dining,2025-05-20
Taxi Service ride from Davisfurt,178.41,Travel,2025-11-11
Delta Airlines ride from Cynthiafort,795.14,Travel,2025-07-30
Subway order 940,87.28,Food & Dining,2025-08-02
Spotify Sign,31.11,Entertainment,2025-07-21
Delta Airlines ride from North Andrewfurt,901.24,Travel,2025-10-13
Etsy Everyone,367.78,Shopping,2025-04-28
Cinema Whole,29.09,Entertainment,2025-04-14
Etsy Yourself,221.32,Shopping,2025-01-18
Uber ride from North Megan,195.34,Travel,2025-07-30
Water Board Buy,135.82,Utilities,2025-03-21
Charity Donation Season,340.13,Others,2025-08-20
Best Buy Language,115.16,Shopping,2025-02-23
Uber ride from Rubenberg,530.29,Travel,2025-02-24
Ola ride from Taylorburgh,547.41,Travel,2025-11-20
Ola ride from Kathleenton,200.71,Travel,2024-12-18
Etsy Realize,456.15,Shopping,2024-11-30
Spotify Story,41.09,Entertainment,2025-11-14
Movie Theater Nature,18.94,Entertainment,2025-03-06
Loan EMI Not,842.0,Finance,2025-09-05
Yoga Studio Response,54.6,Fitness,2025-11-02
Clinic So,26.76,Healthcare,2025-06-18
Phone Bill Husband,269.11,Utilities,2025-06-29
Subway order 148,75.39,Food & Dining,2024-12-28
Spotify Deep,33.01,Entertainment,2025-04-29
Amazon Stage,49.92,Shopping,2025-04-06
Investment Platform Difficult,1648.11,Finance,2025-04-15
Gift Shop Word,484.74,Others,2025-03-07
Lyft ride from Kevinland,808.36,Travel,2025-10-16
Netflix Official,15.98,Entertainment,2025-01-20
Electric Company Black,137.01,Utilities,2025-10-10
Miscellaneous Power,259.37,Others,2025-07-12
Spotify Weight,48.09,Entertainment,2025-02-21
Charity Donation One,289.27,Others,2025-08-14
Loan EMI Near,104.28,Finance,2025-02-28
Phone Bill Best,48.66,Utilities,2025-06-24
Disney+ Fly,33.01,Entertainment,2025-02-03
Delta Airlines ride from Gomezshire,791.89,Travel,2025-07-27
Loan EMI People,1962.76,Finance,2025-05-14
Loan EMI Value,1907.89,Finance,2025-04-27
Flipkart If,180.19,Shopping,2024-12-06
Hospital Stand,129.19,Healthcare,2025-04-03
KFC order 284,63.36,Food & Dining,2024-12-27
Delta Airlines ride from Elliottchester,265.82,Travel,2024-11-29
Electric Company Media,221.31,Utilities,2025-08-05
Yoga Studio Soldier,84.36,Fitness,2025-05-02
Gas Co Know,47.35,Utilities,2024-12-03
Hospital Born,92.03,Healthcare,2025-08-16
Walgreens Us,168.54,Healthcare,2025-01-28
Spotify Job,34.81,Entertainment,2025-07-07
Best Buy Effort,222.48,Shopping,2025-04-10
Etsy Growth,353.58,Shopping,2025-02-11
Internet Service Affect,46.68,Utilities,2025-02-14
Fitbit Subscription Cut,88.17,Fitness,2025-09-12
Domino's order 243,70.35,Food & Dining,2025-10-21
Loan EMI Affect,833.35,Finance,2025-09-16
Gift Shop Media,239.95,Others,2025-10-11
Charity Donation Know,419.78,Others,2024-12-02
Spotify Sell,48.76,Entertainment,2025-09-05
Domino's order 787,4.38,Food & Dining,2025-02-24
Yoga Studio System,108.33,Fitness,2025-07-18
Clinic Book,139.71,Healthcare,2025-07-15
McDonald's order 120,43.16,Food & Dining,2025-06-09
Fitbit Subscription Everybody,73.39,Fitness,2025-04-03
Etsy Last,432.94,Shopping,2025-11-13
Target Hear,148.98,Shopping,2025-02-17
Cinema Finally,6.27,Entertainment,2025-01-27
Gym Membership Dinner,108.19,Fitness,2025-02-09
Subway order 395,97.86,Food & Dining,2025-01-22
Planet Fitness Bag,138.51,Fitness,2025-10-04
Starbucks order 793,17.59,Food & Dining,2025-01-07
Hulu Small,13.31,Entertainment,2025-09-11
Gas Co Real,160.07,Utilities,2025-11-10
Yoga Studio Region,138.22,Fitness,2025-05-08
Charity Donation Energy,283.58,Others,2025-04-06
Cafe Nero order 814,98.65,Food & Dining,2025-04-27
Miscellaneous Customer,334.05,Others,2025-10-29
Netflix Performance,43.6,Entertainment,2025-10-15
Bank Transfer Tend,1803.66,Finance,2025-07-25
Planet Fitness Town,126.23,Fitness,2025-06-27
Water Board Sea,96.92,Utilities,2025-11-21
Trainline ride from East Josephfort,264.72,Travel,2025-08-19
Planet Fitness Support,11.81,Fitness,2025-07-04
Etsy Station,462.17,Shopping,2025-10-12
Yoga Studio Much,129.81,Fitness,2025-04-23
Phone Bill About,192.28,Utilities,2025-04-06
KFC order 609,62.3,Food & Dining,2025-04-22
Planet Fitness Social,96.32,Fitness,2025-08-29
Trainline ride from Hamiltontown,651.9,Travel,2025-01-30
Fitbit Subscription Room,81.14,Fitness,2025-01-01
McDonald's order 127,29.56,Food & Dining,2025-06-25
Phone Bill See,170.05,Utilities,2025-02-01
Target Sit,153.16,Shopping,2025-03-31
McDonald's order 928,94.72,Food & Dining,2025-03-28
Bank Transfer Food,926.23,Finance,2025-04-29
Gas Co Hard,253.11,Utilities,2025-07-15
Domino's order 247,71.64,Food & Dining,2025-08-06
Best Buy Lot,169.44,Shopping,2025-02-10
Pizza Hut order 839,95.14,Food & Dining,2025-09-14
Cinema House,36.54,Entertainment,2025-08-15
Internet Service Unit,229.85,Utilities,2024-12-04
Planet Fitness Too,39.86,Fitness,2025-03-14
Internet Service Beyond,65.96,Utilities,2025-07-24
Airbnb ride from South Barry,856.84,Travel,2024-12-13
Rite Aid Science,139.75,Healthcare,2025-11-19
Movie Theater Federal,28.35,Entertainment,2025-08-20
Internet Service Participant,169.45,Utilities,2025-04-19
Hulu Language,43.19,Entertainment,2025-02-06
CVS Pharmacy Score,143.24,Healthcare,2025-10-05
Fitbit Subscription Democrat,91.35,Fitness,2025-07-20
Miscellaneous Identify,298.08,Others,2025-04-12
Internet Service Development,39.28,Utilities,2025-09-10
Best Buy Painting,171.52,Shopping,2025-05-21
Gas Co Several,291.08,Utilities,2025-01-01
Miscellaneous Method,17.59,Others,2025-03-23
Gas Co Show,112.55,Utilities,2025-10-13
Walmart Street,332.97,Shopping,2025-06-14
Gym Membership Class,12.67,Fitness,2025-08-19
Delta Airlines ride from Norrisfurt,774.08,Travel,2025-06-03
Spotify Visit,33.62,Entertainment,2025-06-27
Pizza Hut order 475,43.84,Food & Dining,2025-06-02
Walgreens Concern,105.24,Healthcare,2025-09-08
Amazon Kind,26.09,Shopping,2025-02-26
Gym Membership Easy,131.02,Fitness,2025-04-19
Lyft ride from South Marytown,26.9,Travel,2025-06-01
Amazon People,362.59,Shopping,2025-07-10
Walmart Finish,138.16,Shopping,2025-10-05
Spotify Able,49.78,Entertainment,2024-12-18
Ola ride from South Robertville,716.5,Travel,2025-08-02
Flipkart Might,210.5,Shopping,2025-02-23
Domino's order 649,54.63,Food & Dining,2025-03-11
Credit Card Payment Might,459.05,Finance,2025-09-01
Disney+ Well,33.84,Entertainment,2025-07-06
KFC order 421,7.07,Food & Dining,2024-12-25
Bank Transfer Family,1618.04,Finance,2024-12-08
Gift Shop Surface,299.62,Others,2025-11-04
Phone Bill Simply,96.92,Utilities,2025-01-15
Airbnb ride from Port Derek,908.49,Travel,2025-04-03
Miscellaneous Notice,464.28,Others,2024-12-09
Gym Membership Blue,11.85,Fitness,2025-07-09
Electric Company Area,82.63,Utilities,2025-07-08
Electric Company Alone,155.23,Utilities,2025-01-27
Disney+ Vote,25.09,Entertainment,2025-09-26
Charity Donation Image,108.07,Others,2025-07-15
Ola ride from Briannaville,146.03,Travel,2025-01-28
Pizza Hut order 422,89.51,Food & Dining,2025-06-22
Trainline ride from Lake Tracifort,563.27,Travel,2025-05-11
Internet Service Pretty,277.79,Utilities,2025-03-04
Rite Aid Above,35.73,Healthcare,2025-08-06
Water Board Identify,122.07,Utilities,2025-08-10
Walmart Line,459.37,Shopping,2025-08-22
Spotify Operation,37.16,Entertainment,2025-03-10
Planet Fitness Third,52.71,Fitness,2025-07-08
Hulu Per,36.45,Entertainment,2025-11-12
Target Environment,92.1,Shopping,2024-12-12
Hospital Age,33.38,Healthcare,2025-03-18
Amazon Million,187.68,Shopping,2024-12-02
Movie Theater Detail,48.42,Entertainment,2025-02-23
Miscellaneous Sit,99.31,Others,2025-04-30
Best Buy Growth,254.77,Shopping,2025-02-20
Netflix Fire,49.39,Entertainment,2025-09-25
KFC order 148,41.61,Food & Dining,2025-04-25
Miscellaneous Who,225.48,Others,2025-09-13
Amazon About,139.76,Shopping,2025-04-15
Gas Co Season,26.54,Utilities,2024-12-07
Bank Transfer Continue,1472.01,Finance,2025-01-16
Netflix Lawyer,19.2,Entertainment,2025-05-17
Walgreens Dinner,154.72,Healthcare,2025-02-04
Investment Platform By,658.98,Finance,2025-10-30
Miscellaneous Media,42.22,Others,2025-05-03
Rite Aid Analysis,120.7,Healthcare,2025-04-05
Loan EMI Employee,1654.38,Finance,2025-05-08
Hospital Dream,131.97,Healthcare,2025-03-04
Hulu Able,13.87,Entertainment,2025-06-10
Bank Transfer Against,811.57,Finance,2025-02-24
Rite Aid Create,104.22,Healthcare,2025-04-20
Hospital Democratic,10.12,Healthcare,2024-12-05
Etsy Million,123.94,Shopping,2025-04-13
Lyft ride from Sandersshire,828.42,Travel,2025-06-29
Internet Service Away,279.09,Utilities,2025-03-10
Spotify Mention,31.06,Entertainment,2025-09-15
Disney+ May,34.57,Entertainment,2025-04-01
Loan EMI Black,613.5,Finance,2025-05-12
Hospital Require,195.22,Healthcare,2025-07-27
Walgreens Interest,139.6,Healthcare,2025-10-01
Uber ride from Port Jeremyfort,812.42,Travel,2025-07-26
Water Board Improve,105.08,Utilities,2025-02-16
Planet Fitness Three,57.87,Fitness,2025-02-05
Gift Shop Phone,337.46,Others,2025-05-22
Taxi Service ride from Tonifort,514.68,Travel,2025-10-11
Investment Platform Grow,626.36,Finance,2024-12-14
Airbnb ride from Martinezview,377.22,Travel,2025-06-21
Amazon Anything,324.14,Shopping,2025-11-02
Bank Transfer Likely,787.79,Finance,2025-01-10
Trainline ride from Petersfurt,386.22,Travel,2025-03-26
Pizza Hut order 967,96.59,Food & Dining,2024-12-17
Hulu Protect,15.41,Entertainment,2025-02-23
Yoga Studio Whole,121.56,Fitness,2025-11-06
Electric Company Medical,297.03,Utilities,2025-02-16
Delta Airlines ride from Nancybury,331.49,Travel,2025-02-07
Airbnb ride from Lake Jose,924.96,Travel,2025-04-26
CVS Pharmacy Those,21.51,Healthcare,2025-02-18
Trainline ride from East Chloehaven,741.1,Travel,2025-08-13
CVS Pharmacy Expect,184.97,Healthcare,2025-08-29
Amazon Indeed,426.62,Shopping,2025-06-29
Gym Membership With,83.48,Fitness,2025-01-04
Phone Bill Red,145.76,Utilities,2025-09-26
Gym Membership Head,124.1,Fitness,2024-12-10
Walmart Time,163.42,Shopping,2025-10-20
Gift Shop Write,469.9,Others,2025-08-15
Gift Shop Back,260.1,Others,2025-09-04
Disney+ Analysis,7.03,Entertainment,2025-04-27
Domino's order 695,52.86,Food & Dining,2025-10-29
Walgreens Size,174.76,Healthcare,2025-03-25
Internet Service Treat,180.43,Utilities,2025-07-08
Charity Donation Follow,35.16,Others,2025-10-28
Planet Fitness Threat,14.87,Fitness,2025-01-26
Charity Donation Couple,412.28,Others,2025-03-21
Planet Fitness West,18.32,Fitness,2025-07-03
Credit Card Payment Than,727.0,Finance,2025-03-10
Gift Shop Two,188.68,Others,2025-11-09
Disney+ Standard,45.27,Entertainment,2024-12-19
Water Board Property,241.71,Utilities,2024-11-24
Charity Donation Detail,214.37,Others,2025-01-04
Hospital Newspaper,20.17,Healthcare,2025-08-02
Pizza Hut order 170,90.85,Food & Dining,2025-03-13
McDonald's order 533,14.5,Food & Dining,2025-01-03
Starbucks order 720,79.81,Food & Dining,2025-01-22
Walgreens Raise,149.38,Healthcare,2025-04-27
Walmart Record,226.12,Shopping,2025-06-13
Planet Fitness Value,37.72,Fitness,2025-09-06
Taxi Service ride from South Monicamouth,897.43,Travel,2024-12-07
Yoga Studio Particularly,54.2,Fitness,2025-04-09
Movie Theater Expert,6.78,Entertainment,2025-10-31
Starbucks order 627,93.46,Food & Dining,2025-06-23
Trainline ride from East Richard,667.21,Travel,2025-02-21
Uber ride from South Christopherville,460.62,Travel,2025-06-10
McDonald's order 628,17.16,Food & Dining,2025-06-23
CVS Pharmacy Edge,59.53,Healthcare,2025-03-24
Target Now,159.07,Shopping,2025-06-27
Gas Co Nice,195.32,Utilities,2024-12-10
Bank Transfer Picture,859.11,Finance,2024-12-07
Hulu Reason,41.75,Entertainment,2024-12-28
Gift Shop Tree,197.48,Others,2025-05-20
Starbucks order 525,41.59,Food & Dining,2025-03-24
Miscellaneous Plan,285.71,Others,2025-02-23
CVS Pharmacy Until,161.46,Healthcare,2025-01-09
Clinic Sort,91.71,Healthcare,2025-10-08
Miscellaneous Condition,411.99,Others,2025-04-07
Electric Company Thought,94.02,Utilities,2024-12-26
Walgreens Player,167.94,Healthcare,2025-11-08
Electric Company Yes,180.2,Utilities,2025-09-22
Hospital Artist,16.0,Healthcare,2025-06-18
Amazon Billion,123.69,Shopping,2024-12-26
Investment Platform Activity,505.14,Finance,2025-08-23
Planet Fitness Today,58.52,Fitness,2025-09-29
Trainline ride from East Sean,948.81,Travel,2025-09-07
Best Buy Factor,234.52,Shopping,2024-12-04
Gift Shop Watch,360.53,Others,2025-10-04
Netflix Deep,27.93,Entertainment,2025-09-14
Netflix Third,13.35,Entertainment,2025-07-29
Delta Airlines ride from Kirkfort,571.6,Travel,2025-10-08
Credit Card Payment Sense,1188.07,Finance,2025-02-07
Fitbit Subscription Draw,17.78,Fitness,2025-08-02
Rite Aid Range,11.18,Healthcare,2024-11-28
Credit Card Payment Whether,211.98,Finance,2025-04-04
Airbnb ride from Youngmouth,775.08,Travel,2025-10-04
Etsy Data,481.23,Shopping,2025-08-03
Delta Airlines ride from Port Rachelport,628.21,Travel,2024-12-04
Gas Co Occur,284.34,Utilities,2024-12-27
Bank Transfer Marriage,414.39,Finance,2025-07-02
Gift Shop Thank,341.37,Others,2025-05-04
Etsy Mention,448.66,Shopping,2025-05-25
Spotify Member,41.14,Entertainment,2025-09-22
Bank Transfer Recent,1283.19,Finance,2024-11-25
Credit Card Payment This,1573.2,Finance,2025-08-14
Yoga Studio Number,54.68,Fitness,2025-03-19
Miscellaneous Mission,60.28,Others,2024-12-15
Gift Shop Address,238.2,Others,2025-10-11
Gym Membership Candidate,47.14,Fitness,2025-04-23
Pizza Hut order 581,35.07,Food & Dining,2025-09-30
Target Understand,388.42,Shopping,2025-05-25
Charity Donation Family,85.3,Others,2025-08-15
Phone Bill Film,67.29,Utilities,2025-09-25
Walmart Free,496.0,Shopping,2025-02-27
Delta Airlines ride from Port Jessicachester,832.13,Travel,2025-01-02
Lyft ride from West Luke,280.67,Travel,2025-10-23
Walmart Indeed,446.46,Shopping,2025-02-20
Internet Service Task,224.77,Utilities,2025-01-09
Flipkart Put,49.2,Shopping,2025-02-22
Cinema High,49.43,Entertainment,2025-04-10
Credit Card Payment Particular,1004.3,Finance,2025-09-01
Ola ride from North Daniellestad,857.8,Travel,2025-11-12
Bank Transfer Move,1068.31,Finance,2025-11-02
Flipkart Part,268.25,Shopping,2025-07-04
McDonald's order 769,80.4,Food & Dining,2025-02-15
Phone Bill Mention,145.93,Utilities,2025-05-16
Clinic Measure,111.96,Healthcare,2025-02-24
Domino's order 579,36.92,Food & Dining,2024-12-08
Water Board Education,266.0,Utilities,2025-05-27
Target Republican,186.65,Shopping,2025-04-29
Taxi Service ride from West Marcushaven,104.38,Travel,2025-09-09
Electric Company Treatment,194.18,Utilities,2025-04-20
Movie Theater Structure,13.55,Entertainment,2025-01-17
Hospital Standard,116.68,Healthcare,2025-01-25
Target Number,87.21,Shopping,2025-08-07
Miscellaneous Represent,361.41,Others,2025-03-28
Flipkart Wide,105.08,Shopping,2025-06-12
Loan EMI These,637.0,Finance,2025-10-16
Cinema Happen,18.12,Entertainment,2025-08-25
Best Buy Born,130.6,Shopping,2025-10-02
Gas Co Establish,23.03,Utilities,2025-05-22
Fitbit Subscription Fly,69.43,Fitness,2025-05-17
Investment Platform Somebody,157.49,Finance,2025-10-30
Loan EMI Position,287.94,Finance,2025-06-15
Gift Shop Huge,22.47,Others,2025-04-29
Internet Service Down,200.76,Utilities,2025-04-01
Disney+ Bag,28.13,Entertainment,2025-06-09
Rite Aid Visit,94.44,Healthcare,2025-06-19
Flipkart International,58.11,Shopping,2025-11-19
Rite Aid Student,173.28,Healthcare,2025-04-28
Gift Shop Understand,298.77,Others,2025-05-18
Gym Membership Soldier,11.33,Fitness,2025-02-10
Amazon Almost,215.34,Shopping,2025-01-06
Loan EMI Point,1247.99,Finance,2025-10-03
Lyft ride from Justinview,977.12,Travel,2025-10-10
Amazon Player,152.68,Shopping,2025-07-07
Fitbit Subscription Former,39.17,Fitness,2025-01-01
Disney+ Social,31.51,Entertainment,2025-06-08
Rite Aid Machine,29.89,Healthcare,2025-04-24
Internet Service Three,21.68,Utilities,2025-02-26
Best Buy Even,223.8,Shopping,2025-07-27
Taxi Service ride from Michellebury,385.97,Travel,2025-03-02
Electric Company Brother,90.41,Utilities,2025-09-20
Charity Donation Country,249.15,Others,2025-05-17
Airbnb ride from Saraport,322.05,Travel,2024-12-12
Internet Service Occur,199.8,Utilities,2025-07-13
Gift Shop Nice,329.43,Others,2024-12-17
Domino's order 383,81.08,Food & Dining,2025-05-17
Etsy Page,321.35,Shopping,2025-07-02
Starbucks order 950,60.16,Food & Dining,2025-10-01
Starbucks order 270,73.97,Food & Dining,2025-10-06
Investment Platform Key,838.17,Finance,2024-12-31
Movie Theater Employee,9.25,Entertainment,2024-12-06
Electric Company Window,181.76,Utilities,2025-08-29
Investment Platform Look,1266.27,Finance,2025-04-01
Charity Donation National,55.41,Others,2025-08-10
Yoga Studio Practice,50.27,Fitness,2024-12-13
Charity Donation Management,263.17,Others,2025-03-29
Disney+ Mouth,36.88,Entertainment,2024-11-24
Rite Aid Until,58.71,Healthcare,2025-02-24
Amazon Student,83.06,Shopping,2024-12-03
Water Board Once,170.01,Utilities,2024-12-24
Walmart Stuff,271.79,Shopping,2025-06-11
Investment Platform College,1000.87,Finance,2025-08-09
Target Pull,159.01,Shopping,2025-11-08
Miscellaneous Bit,308.91,Others,2025-08-29
Gym Membership Know,145.66,Fitness,2025-06-08
Planet Fitness Decade,132.21,Fitness,2025-02-21
Rite Aid High,119.73,Healthcare,2025-06-18
Bank Transfer Thought,144.26,Finance,2025-02-17
Rite Aid Natural,40.11,Healthcare,2025-08-02
Miscellaneous Second,245.76,Others,2025-01-03
Gift Shop Turn,270.44,Others,2025-09-19
Disney+ Ability,10.21,Entertainment,2025-10-14
CVS Pharmacy Environmental,22.48,Healthcare,2025-09-02
Target Most,230.65,Shopping,2025-08-03
Cafe Nero order 724,54.22,Food & Dining,2025-11-17
Credit Card Payment Election,1179.81,Finance,2025-04-26
Phone Bill Try,37.44,Utilities,2025-06-01
McDonald's order 146,30.67,Food & Dining,2025-07-09
Gym Membership Nation,114.59,Fitness,2025-08-08
KFC order 302,18.31,Food & Dining,2025-08-28
Gym Membership Respond,86.54,Fitness,2025-04-27
Water Board Sort,126.8,Utilities,2025-07-06
Charity Donation Cost,321.28,Others,2025-03-26
Phone Bill Hot,76.0,Utilities,2025-03-01
Electric Company Capital,59.51,Utilities,2025-05-11
Electric Company Instead,157.01,Utilities,2025-10-04
Hulu Face,19.34,Entertainment,2025-03-01
Gift Shop Truth,436.95,Others,2025-08-08
Best Buy Look,153.35,Shopping,2025-07-22
Gift Shop How,14.88,Others,2024-12-11
Investment Platform Soon,1672.08,Finance,2025-03-30
Amazon See,349.74,Shopping,2025-06-19
Gym Membership Kitchen,146.05,Fitness,2024-11-26
Spotify Grow,32.35,Entertainment,2025-06-06
Investment Platform Until,1562.65,Finance,2025-04-18
Charity Donation Face,299.61,Others,2025-02-05
Target Light,273.23,Shopping,2025-02-20
Clinic Listen,74.43,Healthcare,2025-11-16
Cafe Nero order 367,53.69,Food & Dining,2025-05-14
Investment Platform Fight,1543.22,Finance,2025-10-28
Gym Membership Cover,23.65,Fitness,2025-10-03
Gym Membership Drop,126.52,Fitness,2025-03-03
Yoga Studio Maybe,30.61,Fitness,2025-11-16
Trainline ride from Moralesberg,578.43,Travel,2025-07-10
Gas Co Collection,157.92,Utilities,2025-04-28
Disney+ True,38.85,Entertainment,2025-05-07
Walmart Down,498.96,Shopping,2025-01-13
Best Buy Hundred,415.43,Shopping,2025-09-22
Loan EMI Husband,1393.89,Finance,2024-12-01
Cinema Condition,34.57,Entertainment,2025-07-22
Fitbit Subscription Would,118.8,Fitness,2025-02-24
Starbucks order 446,56.58,Food & Dining,2025-08-03
Pizza Hut order 315,67.91,Food & Dining,2025-07-17
Investment Platform Toward,260.93,Finance,2025-08-28
Gas Co Appear,134.35,Utilities,2025-11-09
McDonald's order 339,6.24,Food & Dining,2025-06-14
Taxi Service ride from Maryside,429.89,Travel,2024-12-19
Walgreens Idea,188.27,Healthcare,2025-07-21
Amazon View,259.13,Shopping,2025-03-20
Investment Platform Those,240.01,Finance,2024-12-20
Best Buy Lose,383.86,Shopping,2024-11-30
Ola ride from Ortegaport,772.48,Travel,2025-10-10
Subway order 945,19.19,Food & Dining,2025-11-17
Cafe Nero order 310,96.15,Food & Dining,2025-08-05
Miscellaneous Morning,395.16,Others,2025-02-07
Ola ride from West Donnashire,162.12,Travel,2025-02-02
Yoga Studio Want,11.7,Fitness,2024-12-06
Flipkart Cause,315.01,Shopping,2025-07-11
Phone Bill Somebody,94.43,Utilities,2025-07-22
Loan EMI Set,1608.66,Finance,2025-03-01
KFC order 760,86.92,Food & Dining,2025-11-14
Yoga Studio Or,108.64,Fitness,2025-10-28
CVS Pharmacy Prepare,151.67,Healthcare,2025-09-17
Walgreens South,26.34,Healthcare,2025-11-02
Disney+ Above,37.04,Entertainment,2025-10-29
Electric Company More,233.92,Utilities,2024-12-30
Flipkart Memory,77.58,Shopping,2025-07-09
Charity Donation Possible,127.47,Others,2025-04-01
Spotify Nothing,27.96,Entertainment,2025-06-08
Hospital Defense,62.61,Healthcare,2025-10-02
